_id,nombre,nivelRiesgo,descripcion,consecuencia,medidasPrevencion,peligroId,protocolos[0],protocolos[1],createdAt,updatedAt,numero,__v
6a319778549e99d526034d66,Estrés laboral,MEDIO,Sobrecarga de actividades o presión durante el desarrollo de la actividad.,"Fatiga mental, disminución del rendimiento y afectaciones emocionales.",Planificación adecuada de actividades y pausas activas.,6a31769068345435c1d4d597,6a31cc91f9be4a443a762204,,2026-06-16T18:35:36.856Z,2026-07-01T16:19:13.510Z,12,0
6a31978c549e99d526034d67,Fatiga emocional,MEDIO,Exposición prolongada a situaciones de presión o tensión psicológica.,Agotamiento emocional y disminución de la concentración.,Promover espacios de bienestar y acompañamiento.,6a31769068345435c1d4d597,6a31cc91f9be4a443a762204,,2026-06-16T18:35:56.336Z,2026-07-01T16:19:34.837Z,13,0
6a319891549e99d526034d68,Dolor lumbar,MEDIO,Permanencia prolongada en posiciones estáticas.,Molestias musculares y lesiones de espalda.,Realizar pausas activas y cambios de postura frecuentes.,6a31772c68345435c1d4d59a,6a31cb49f9be4a443a762202,,2026-06-16T18:40:17.372Z,2026-07-01T16:19:52.441Z,14,0
6a3198aa549e99d526034d69,Fatiga muscular,MEDIO,Sobrecarga física por permanencia en una misma posición.,Disminución de movilidad y molestias musculares.,Adecuación ergonómica del puesto o actividad.,6a31772c68345435c1d4d59a,6a31cb49f9be4a443a762202,,2026-06-16T18:40:42.370Z,2026-07-01T16:20:09.429Z,15,0
6a3198c8549e99d526034d6a,Lesión osteomuscular,ALTO,Levantamiento incorrecto de cargas pesadas.,"Lesiones en espalda, hombros o extremidades.",Aplicar técnicas adecuadas de levantamiento.,6a31775368345435c1d4d59b,6a31cb49f9be4a443a762202,6a31c5fef9be4a443a7621fb,2026-06-16T18:41:12.086Z,2026-07-01T16:20:33.103Z,16,0
6a319910549e99d526034d6b,Sobreesfuerzo físico,MEDIO,Manipulación repetitiva de cargas.,Fatiga física y trastornos musculoesqueléticos.,Uso de ayudas mecánicas y trabajo en equipo.,6a31775368345435c1d4d59b,6a31cb49f9be4a443a762202,,2026-06-16T18:42:24.485Z,2026-07-01T16:20:50.359Z,17,0
6a31992c549e99d526034d6c,Caída por desniveles,MEDIO,Desplazamiento sobre superficies con desniveles o irregularidades.,"Esguinces, contusiones o fracturas.",Inspección previa y señalización de áreas.,6a31775c68345435c1d4d59c,6a31c5d1f9be4a443a7621fa,6a31cb03f9be4a443a762201,2026-06-16T18:42:52.622Z,2026-07-01T16:21:08.138Z,18,0
6a319948549e99d526034d6d,Tropiezo en terreno irregular,MEDIO,Presencia de obstáculos o superficies deterioradas.,Caídas y lesiones físicas.,Mantener rutas seguras y despejadas.,6a31775c68345435c1d4d59c,6a31c5d1f9be4a443a7621fa,,2026-06-16T18:43:20.820Z,2026-07-01T16:21:26.363Z,19,0
6a319962549e99d526034d6e,Descarga eléctrica,ALTO,Contacto accidental con instalaciones o equipos energizados.,"Quemaduras, lesiones graves o muerte.",Verificar aislamiento y aplicar procedimientos seguros.,6a31be54f9be4a443a7621f9,6a31c625f9be4a443a7621fd,6a31c5fef9be4a443a7621fb,2026-06-16T18:43:46.558Z,2026-07-01T16:21:44.001Z,20,0
6a31997a549e99d526034d6f,Quemaduras por arco eléctrico,ALTO,Exposición a chispas o arcos eléctricos durante operaciones técnicas.,Lesiones térmicas severas.,Uso de EPP dieléctrico y mantenimiento preventivo.,6a31be54f9be4a443a7621f9,6a31c625f9be4a443a7621fd,6a31c5fef9be4a443a7621fb,2026-06-16T18:44:10.748Z,2026-07-01T16:22:01.113Z,21,0
